shot_id,action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,game_date,opponent
18924,Jump Shot,33.9913,204,53,-118.0658,4,4,0,Dec-11,59,21,0,Right Side(R),2012/2/17,PHX
27600,Jump Shot,33.9813,29,63,-118.2408,1,3,0,1998-99,52,6,1,Center(C),1999/4/20,GSW
6425,Jump Shot,33.9813,168,63,-118.1018,2,3,0,Oct-09,5,17,1,Right Side(R),2009/12/29,GSW
25941,Running Jump Shot,34.0003,57,44,-118.2128,8,3,0,1999-00,54,7,1,Center(C),2000/4/10,SEA
20265,Jump Shot,33.8453,100,199,-118.1698,4,4,0,Mar-02,29,22,,Right Side Center(RC),2003/2/18,HOU
29465,Jump Shot,34.0393,119,5,-118.1508,11,4,0,1999-00,46,11,0,Right Side(R),2000/3/16,WAS
6282,Jump Bank Shot,34.0323,-184,12,-118.4538,10,3,0,Apr-03,44,18,1,Left Side(L),2004/2/18,GSW
14223,Jump Shot,33.9393,-37,105,-118.3068,7,4,0,2015-16,57,11,0,Center(C),2015/11/1,DAL
12933,Jump Shot,33.9343,129,110,-118.1408,7,1,0,Feb-01,53,16,,Right Side Center(RC),2001/12/30,HOU
17423,Layup Shot,34.0443,0,0,-118.2698,3,4,0,1996-97,39,0,1,Center(C),1997/2/4,LAC
26834,Jump Shot,34.0683,159,-24,-118.1108,7,4,0,Jul-06,54,16,0,Right Side(R),2006/12/19,CHI
9817,Layup Shot,34.0443,0,0,-118.2698,1,2,0,Apr-03,52,0,1,Center(C),2003/11/4,MIL
820,Running Jump Shot,33.9833,-158,61,-118.4278,8,1,0,1999-00,1,16,1,Left Side(L),2000/4/10,SEA
4464,Jump Shot,33.9913,150,53,-118.1198,0,1,1,Feb-01,28,15,0,Right Side(R),2002/5/7,SAS
13803,Jump Shot,33.8553,-187,189,-118.4568,4,4,0,May-04,29,26,0,Left Side Center(LC),2004/11/19,PHX
6170,Driving Layup Shot,34.0443,0,0,-118.2698,7,2,0,1999-00,15,0,,Center(C),1999/12/16,ATL
3487,Driving Layup Shot,34.0493,23,-5,-118.2468,6,3,0,May-04,6,2,1,Center(C),2005/3/2,BOS
6137,Jump Shot,34.0303,-104,14,-118.3738,1,1,1,1999-00,0,10,,Left Side(L),2000/5/2,SAC
18424,Layup Shot,34.0343,28,10,-118.2418,6,2,0,Jun-05,43,2,1,Center(C),2005/12/2,MIN
26598,Jump Shot,33.8373,43,207,-118.2268,11,3,0,Jul-06,41,21,1,Center(C),2006/11/8,POR
19799,Jump Shot,33.9013,-210,143,-118.4798,11,3,1,Aug-07,27,25,,Left Side Center(LC),2008/4/28,DEN
8518,Jump Shot,33.8443,88,200,-118.1818,1,1,0,2012-13,30,21,,Right Side Center(RC),2012/11/18,HOU
17373,Jump Shot,33.7923,62,252,-118.2078,9,3,0,2014-15,28,25,0,Center(C),2014/12/15,IND
15297,Jump Shot,33.9243,113,120,-118.1568,9,1,0,May-04,5,16,1,Right Side Center(RC),2005/1/10,MIN
11415,Layup Shot,34.0443,-15,0,-118.2848,9,3,0,Dec-11,12,1,1,Center(C),2012/1/6,GSW
3112,Driving Layup Shot,34.0443,0,0,-118.2698,0,1,0,1999-00,4,0,,Center(C),1999/12/19,TOR
8942,Driving Layup Shot,34.0403,-5,4,-118.2748,0,2,1,Nov-10,41,0,,Center(C),2011/5/6,DAL
10883,Alley Oop Dunk Shot,34.0443,0,0,-118.2698,4,2,0,Jun-05,16,0,1,Center(C),2006/3/12,SEA
26753,Pullup Jump shot,33.8843,72,160,-118.1978,1,3,0,Sep-08,18,17,1,Right Side Center(RC),2009/3/15,DAL
